;18:45;21:00;02:15;;;;12:00;14:30;02:30;12:00;14:30;02:30;;;00:00;;;00:00;;;00:00;
;;;06:00;  ;;00:00;;;06:00;;;06:00;  ;;00:00;  ;;00:00;  ;;00:00;18:00
Person4;;;00:00;;;;;;00:00;;;00:00;;;00:00;;;00:00;10:30;13:00;02:30;
;;;00:00;;;00:00;14:30;19:15;04:45;14:30;19:15;04:45;14:30;19:15;04:45;14:30;19:15;04:45;14:30;19:15;04:45;
;  ;;00:00;  ;;00:00;;;04:45;;;04:45;;;04:45;;;04:45;;;07:15;26:15:00
Person5;;;00:00;;;00:00;;;00:00;14:15;18:00;03:45;14:15;18:00;03:45;;;00:00;;;00:00;
;14:30;19:15;04:45;14:30;19:15;04:45;;;00:00;18:45;21:00;02:15;18:45;21:00;02:15;;;00:00;;;00:00;
;;;04:45;;;04:45;  ;;00:00;;;06:00;;;06:00;;;00:00;;;00:00;21:30
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
WEEK;Monday 20 July 2020;;;Tuesday 21 July 2020;;;Wednesday 22 July 2020;;;Thursday 23 July 2020;;;Friday 24 July 2020;;;Saturday 25 July 2020;;;Sunday 26 July 2020;;;
30;;;;;;;;;;;;;;;;;;;;;;
Person1;;;00:00;14:15;18:00;03:45;14:15;18:00;03:45;14:15;18:00;03:45;14:15;18:00;03:45;;;00:00;;;00:00;
;;;00:00;18:45;21:00;02:15;18:45;21:00;02:15;18:45;21:00;02:15;18:45;21:00;02:15;;;00:00;;;00:00;
;  ;;00:00;;;06:00;;;06:00;;;06:00;;;06:00;;;00:00;;;00:00;24:00:00
Person2;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;
;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;
;  ;;00:00;  ;;00:00;  ;;00:00;  ;;00:00;  ;;00:00;  ;;00:00;  ;;00:00;00:00
RACHEL;07:45;11:15;03:30;07:45;11:15;03:30;;;00:00;;;00:00;;;00:00;10:15;15:45;05:30;;;00:00;
;12:00;14:30;02:30;12:00;14:30;02:30;;;00:00;;;00:00;;;00:00;16:30;21:00;04:30;14:00;21:00;07:00;
;;;06:00;;;06:00;  ;;00:00;  ;;00:00;  ;;00:00;;;10:00;;;07:00;29:00:00
Person4;;;00:00;;;;;;00:00;;;00:00;;;00:00;;;00:00;10:30;13:00;02:30;
;14:30;19:15;04:45;;;00:00;14:30;19:15;04:45;14:30;19:15;04:45;14:30;19:15;04:45;14:30;19:15;04:45;14:30;19:15;04:45;
;;;04:45;  ;;00:00;;;04:45;;;04:45;;;04:45;;;04:45;;;07:15;31:00:00
Person5;14:15;18:00;03:45;;;;07:45;11:15;03:30;07:45;11:15;03:30;07:45;11:15;03:30;;;00:00;;;00:00;
;18:45;21:00;02:15;14:30;19:15;;12:00;14:30;02:30;12:00;14:30;02:30;12:00;14:30;02:30;;;00:00;;;00:00;
;;;06:00;;;00:00;;;06:00;;;06:00;;;06:00;  ;;00:00;  ;;00:00;24:00:00
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
